Stock Code;Bar Code;Stock Description;Count
00-SCREW6777;6008741005357;NAD SCREW-IT WHITE 290ML;
0038;;WRENCH - ADJUSTABLE 150M;
0042;;WRENCH - 250MM ADJUSTABLE ZEL;
0047;;SANDING BELT - 100X610X60GT;
0056;;MOULDING - ARCH S/W ARCH4S;
0057;;MOULDING - ARCH S/W ARCH1S;
0058;;MOULDING - ARCH S/W ARCH3S;
0060;;MOULDING - CORNICE S/W CR1S;
0062;;MOULDING - ARCH PINE ARCH4P;
0064;;MOULDING - CORNICE PINE CR2P;
02210400;6002065011506;ABE SUPER LAYKOLD SPRAY & SEAL 400M;
0271-1;;EPT PLASTIC BOTTLE + CAP;
0400;;ALN SKI ROPE 10MMX15MT;
0567;;EPT PREVAL SPRAYER WITH GLASS JAR;
0568;;EPT PREVAL SPRAYER REFILL;
10001;;PT GARDENA H/N SPRAY/STOP SET;
1005;;C/S HAMMERTONE QD CHARCOAL 1LT;
10100;;DEK QD SPECIFIRE RED 5LT;
101002BOX;;PL POLYCELL POLYFILLA 2KG (BOX);
10110;;LS QD XF SKY BLUE 5LT;
10111;;PMB IND/LAC SEA MIST 5LT;
10113;;NAA LLEW BRIAN BURGANDY STAIN;
10114;;PMB W/B VACUME DESIGNER NATURAL 25LT;
10115;;DEK QD PASTEL BASE 20LT;
10116;;NTOMBI WHITE PVA 20LT;
10117;;DEKAFLOOR HIGH SHEEN GREY 5LT;
10118;;LS QD JUPIDEX ALPLER RED 5LT;
10119;;LS QD JUPIDEX ALPLER WHITE 5LT;
10120;;LS QD JUPIDEX ALPLER GREY 5LT;
10121;;LS QD JUPIDEX RAL9005 5LT;
10122;;DEK QD ACTION ALKYD FIRE RED 5LT;
10123;SEB5;RYSTIX EXT SEALER EBONY 5LT;
10125;;ARBORCOAT C/S 10 CHERRY 5LT;
10128;;PL IAC LEMON CHROME 5LT;
10129;;PL IAC PHTHALO GREEN 5LT;
10130;;PL IAC BRIGHT RED 5LT;
10131;;PL IAC BLACK 5LT;
10132;;PL IAC MAROON TONER 5LT;
10133;;PL IAC PHTHALO BLUE 5LT;
10134;;PL IAC RED OXIDE 5LT;
10135;;PL IAC SCARLET CHROME 5LT;
10136;;PL IAC ULTRAMARINE BLUE 5LT;
10137;;PL IAC VIOLET 5LT;
10138;;PL IAC WHITE 5LT;
10139;;PL IAC YELLOW OXIDE 5LT;
10140;;PL IAC MID CHROME 5LT;
10148;6004765183095;POLY-PILE REFILL 225MM;
10150;;CURTAIN PINE POLE 1MT;
10151;;CURTAIN PINE POLE 1.5MT;
10152;;CURTAIN PINE POLE 2MT;
10153;;CURTAIN PINE POLE 2.5MT;
10154;;CURTAIN PINE POLE 3MT;
10155;;CURTAIN PINE BRACKETS;
10156;;CURTAIN FINIALS PINE POINTED;
10157;;CURTAIN FINIALS PINE BALL;
10158;;ARBORCOAT 50 CLEAR BASE 20LT;
10159;;L/C GLOBE A60 42WATT HALOGEN ES;
10160;;L/C GLOBE A60 42WATT HALOGEN BC;
10161;;LS QD SCHOOL FRAME GREY 20LT;
10162;;LS QD SCHOOL FRAME GREY 5LT;
10163;;NAA VCF MAHOGANY ON KIAAT 5LT;
10164;;NAA VCF BROWN ON RED WOOD 5LT;
10165;;NAA VCF LIGHT MAHOGANY ON KIAAT 5LT;
10166;;NAA JOHNSONS BROWN STAIN 20LT;
10167;;NAA MOF CHERRY STAIN 20LT;
10168;;NAA MOF IMBUIA STAIN 20LT;
10169;;NAA CSL PATINA OPT 6 20LT;
10170;;NAA CSL PATINA OPT 6 5LT;
10171;;REC HT SP THINNERS 1LT;
10172;;DEKAROOF DEEP BLUE 20LT;
10173;6008741001984;NAD SPRAY MACHINERY GREY;
10174;0700083436870;I/T TAR GONE 1LT;
10175;;DEK WALLFLEX PASTEL 5LT;
10176;;DEK WALLFLEX PASTEL 20LT;
10177;5412386058615;PLASTIK 70 SPRAY 200ML;
10179;;PMB W/B VACUME WALNUT 25LT;
10180;;PMB W/B VACUME TEAK 25LT;
10181;;DX TRADE MASONRY 5LT;
10182;;NAA PINELAND YELLOW P/STAIN 25;
10183;;DEK WALLFLEX DEEP 5LT;
10185;6004596003661;DURAM NUGLO GREEN 5LT;
10186;;C/S DEGREASER WATER BASED 25LT;
10187;;PMB W/B VACUME NATURAL 25LT;
10188;;DRUM DEPOSIT - 2210LT SWIFT CHEM.;
1019;;LA GE10L 1/4 HYD MALE E ADPT;
101903BOX;;PL POLYCELL POLYFILLA 500G (BOX);
10196;;SPRAYON SUNSHINE YELLOW 250ML;
10217;;NAA SUTHERLANDS MAHOGONY P/STN;
1022;;LA REDUCER SOCKET;
10220;;COOL IDEAS MAHOGANY STAIN 5LT;
10221;;DX TESTER POT 250ML;
10223;6007560004947;GEN NOVA 18 LIGHT OAK 500ML;
10224;;H/R SMOOTH GOLD 1LT;
10225;;LS QD NOVA GREY 20LT;
10226;;MG PROTEX LT OAK 200LT;
10227;;MG PROTEX LT OAK 20LT;
10228;;DEK QD ACTION ALKYD BLACK 20LT;
10229;;MG POLYACRYTHANE BLACK KIT 5LT;
10230;;JETTESON W/B DIPPING GREEN 1LT;
10231;;LS QD CAMCHAD YELLOW 5LT;
10232;;PT HACKSAW JUNIOR P/HNDLE;
10234;;COPROX CRACKFILLER WHITE 1KG;
10235;;COPROX CEMENT ADDITIVE 2.5KG;
10236;;CAN - PLASTIC 20LT DEKADE;
10237;;LS QD EXP/SIGN BURGANDY 5LT;
10238;;LS QD EXP/SIGN GREEN 5LT;
10239;;M/M BODYFILLER HARDENER 25GM;
10240;;LS QD EXP/SIGN STHIL ORANGE 5LT;
10241;;LS STONECHIP ANISEED 5LT;
1025;;L/C CABLE TIE NATURAL 4.7X392;
