Stock Code;Bar Code;Stock Description;Retail Price Incl.;Count
00-SCREW6777;6008741005357;NAD SCREW-IT WHITE 290ML;R 118.50;
0038;;WRENCH - ADJUSTABLE 150M;R 44.70;
0042;;WRENCH - 250MM ADJUSTABLE ZEL;R 59.00;
0047;;SANDING BELT - 100X610X60GT;R 15.60;
0056;;MOULDING - ARCH S/W ARCH4S;R 94.80;
0057;;MOULDING - ARCH S/W ARCH1S;R 178.10;
0058;;MOULDING - ARCH S/W ARCH3S;R 171.10;
0060;;MOULDING - CORNICE S/W CR1S;R 106.30;
0062;;MOULDING - ARCH PINE ARCH4P;R 85.80;
0064;;MOULDING - CORNICE PINE CR2P;R 142.90;
02210400;6002065011506;ABE SUPER LAYKOLD SPRAY & SEAL 400M;R 176.50;
0271-1;;EPT PLASTIC BOTTLE + CAP;R 163.00;
0400;;ALN SKI ROPE 10MMX15MT;R 35.00;
0567;;EPT PREVAL SPRAYER WITH GLASS JAR;R 111.00;
0568;;EPT PREVAL SPRAYER REFILL;R 85.50;
10001;;PT GARDENA H/N SPRAY/STOP SET;R 67.40;
1005;;C/S HAMMERTONE QD CHARCOAL 1LT;R 95.00;
10100;;DEK QD SPECIFIRE RED 5LT;R 368.50;
101002BOX;;PL POLYCELL POLYFILLA 2KG (BOX);R 0.00;
10101;;LS QD KANPER CEM/TRUCK YELLOW 20LT;R 1,150.00;
10110;;LS QD XF SKY BLUE 5LT;R 313.50;
10111;;PMB IND/LAC SEA MIST 5LT;R 365.00;
10113;;NAA LLEW BRIAN BURGANDY STAIN;R 1,037.00;
10114;;PMB W/B VACUME DESIGNER NATURAL 25LT;R 207.00;
10115;;DEK QD PASTEL BASE 20LT;R 1,221.50;
10116;;NTOMBI WHITE PVA 20LT;R 331.40;
10117;;DEKAFLOOR HIGH SHEEN GREY 5LT;R 595.50;
10118;;LS QD JUPIDEX ALPLER RED 5LT;R 391.00;
10119;;LS QD JUPIDEX ALPLER WHITE 5LT;R 304.50;
10120;;LS QD JUPIDEX ALPLER GREY 5LT;R 279.00;
10121;;LS QD JUPIDEX RAL9005 5LT;R 263.00;
10122;;DEK QD ACTION ALKYD FIRE RED 5LT;R 257.50;
10123;SEB5;RYSTIX EXT SEALER EBONY 5LT;R 654.00;
10125;;ARBORCOAT C/S 10 CHERRY 5LT;R 193.00;
10128;;PL IAC LEMON CHROME 5LT;R 1,772.50;
10129;;PL IAC PHTHALO GREEN 5LT;R 852.00;
10130;;PL IAC BRIGHT RED 5LT;R 1,230.50;
10131;;PL IAC BLACK 5LT;R 540.50;
10132;;PL IAC MAROON TONER 5LT;R 984.00;
10133;;PL IAC PHTHALO BLUE 5LT;R 1,197.50;
10134;;PL IAC RED OXIDE 5LT;R 1,033.00;
10135;;PL IAC SCARLET CHROME 5LT;R 2,298.00;
10136;;PL IAC ULTRAMARINE BLUE 5LT;R 1,805.00;
10137;;PL IAC VIOLET 5LT;R 3,776.00;
10138;;PL IAC WHITE 5LT;R 984.00;
10139;;PL IAC YELLOW OXIDE 5LT;R 984.00;
10140;;PL IAC MID CHROME 5LT;R 1,641.00;
10148;6004765183095;POLY-PILE REFILL 225MM;R 38.50;
10150;;CURTAIN PINE POLE 1MT;R 32.70;
10151;;CURTAIN PINE POLE 1.5MT;R 72.50;
10152;;CURTAIN PINE POLE 2MT;R 91.50;
10153;;CURTAIN PINE POLE 2.5MT;R 110.50;
10154;;CURTAIN PINE POLE 3MT;R 125.00;
10155;;CURTAIN PINE BRACKETS;R 50.00;
10156;;CURTAIN FINIALS PINE POINTED;R 18.00;
10157;;CURTAIN FINIALS PINE BALL;R 15.00;
10158;;ARBORCOAT 50 CLEAR BASE 20LT;R 1,328.50;
10159;;L/C GLOBE A60 42WATT HALOGEN ES;R 35.50;
10160;;L/C GLOBE A60 42WATT HALOGEN BC;R 31.00;
10161;;LS QD SCHOOL FRAME GREY 20LT;R 790.00;
10162;;LS QD SCHOOL FRAME GREY 5LT;R 215.00;
10163;;NAA VCF MAHOGANY ON KIAAT 5LT;R 454.00;
10164;;NAA VCF BROWN ON RED WOOD 5LT;R 464.00;
10165;;NAA VCF LIGHT MAHOGANY ON KIAAT 5LT;R 364.00;
10166;;NAA JOHNSONS BROWN STAIN 20LT;R 733.50;
10167;;NAA MOF CHERRY STAIN 20LT;R 1,863.00;
10168;;NAA MOF IMBUIA STAIN 20LT;R 794.00;
10169;;NAA CSL PATINA OPT 6 20LT;R 755.00;
10170;;NAA CSL PATINA OPT 6 5LT;R 211.00;
10171;;REC HT SP THINNERS 1LT;R 0.00;
10172;;DEKAROOF DEEP BLUE 20LT;R 1,110.50;
10173;6008741001984;NAD SPRAY MACHINERY GREY;R 51.50;
10174;0700083436870;I/T TAR GONE 1LT;R 173.50;
10175;;DEK WALLFLEX PASTEL 5LT;R 347.00;
10176;;DEK WALLFLEX PASTEL 20LT;R 1,239.00;
10177;5412386058615;PLASTIK 70 SPRAY 200ML;R 145.00;
10179;;PMB W/B VACUME WALNUT 25LT;R 498.50;
10180;;PMB W/B VACUME TEAK 25LT;R 435.00;
10181;;DX TRADE MASONRY 5LT;R 544.90;
10182;;NAA PINELAND YELLOW P/STAIN 25;R 1,076.00;
10183;;DEK WALLFLEX DEEP 5LT;R 439.00;
10185;6004596003661;DURAM NUGLO GREEN 5LT;R 512.50;
10186;;C/S DEGREASER WATER BASED 25LT;R 709.00;
10187;;PMB W/B VACUME NATURAL 25LT;R 244.00;
10188;;DRUM DEPOSIT - 2210LT SWIFT CHEM.;R 148.20;
10189;;DEK STONECHIP ANISEED 5LT;R 231.50;
1019;;LA GE10L 1/4 HYD MALE E ADPT;R 32.20;
10190;;LS QD JUPIDEX FORKLIFT KHAKI 1LT;R 77.00;
101903BOX;;PL POLYCELL POLYFILLA 500G (BOX);R 0.00;
10191;;NAA WOODFORUM CORICRAFT OAK 20LT;R 625.00;
10192;;NTOMBI H/S W/B CASTLE ROCK 25LT;R 1,620.00;
10193;;NTOMBI H/S W/B CASTLE ROCK 5LT;R 305.00;
10194;;NAA REGENCY LIGHT CHERRY STN 20LT;R 900.00;
10195;;DEKAROOF AMBER VALLEY BROWN 5LT;R 249.50;
10196;;SPRAYON SUNSHINE YELLOW 250ML;R 35.90;
10197;;LS AC SHEEN WHITE 500ML;R 44.00;
10198;;LS AC PRIMER WHITE 500ML;R 46.00;
10199;;LS ISOLATION SEALER 1LT;R 90.00;
10201;;PMB IND/LAC CREAM WASH RFU 5LT;R 288.50;
10202;;NAA MV VIB MAHOGANY STAIN 5LT;R 325.00;
10203;;ULTRADEK TURNSTONE 20LT;R 1,629.00;
10217;;NAA SUTHERLANDS MAHOGONY P/STN;R 741.00;
1022;;LA REDUCER SOCKET;R 29.00;
10220;;COOL IDEAS MAHOGANY STAIN 5LT;R 222.00;
10221;;DX TESTER POT 250ML;R 39.00;
10223;6007560004947;GEN NOVA 18 LIGHT OAK 500ML;R 68.50;
10224;;H/R SMOOTH GOLD 1LT;R 220.50;
10225;;LS QD NOVA GREY 20LT;R 883.50;
10226;;MG PROTEX LT OAK 200LT;R 10,002.50;
10227;;MG PROTEX LT OAK 20LT;R 1,179.00;
10228;;DEK QD ACTION ALKYD BLACK 20LT;R 1,103.00;
10229;;MG POLYACRYTHANE BLACK KIT 5LT;R 743.50;
10230;;JETTESON W/B DIPPING GREEN 1LT;R 63.00;
10231;;LS QD CAMCHAD YELLOW 5LT;R 808.00;
10232;;PT HACKSAW JUNIOR P/HNDLE;R 13.00;
10234;;COPROX CRACKFILLER WHITE 1KG;R 32.50;
10235;;COPROX CEMENT ADDITIVE 2.5KG;R 71.50;
10236;;CAN - PLASTIC 20LT DEKADE;R 0.00;
10237;;LS QD EXP/SIGN BURGANDY 5LT;R 335.00;
10238;;LS QD EXP/SIGN GREEN 5LT;R 360.50;
10239;;M/M BODYFILLER HARDENER 25GM;R 16.00;
10240;;LS QD EXP/SIGN STHIL ORANGE 5LT;R 345.50;
10241;;LS STONECHIP ANISEED 5LT;R 295.00;
1025;;L/C CABLE TIE NATURAL 4.7X392;R 95.50;
10265;6003789074372;SCRAPER -  SET ACADEMY;R 27.50;
10266;;PATTEX NO MORE NAILS 400GR;R 140.00;
10269;;T/L SPREADER CLAMP 2-IN1 2PCE;R 36.40;
10272;6005721018826;RUW 5M METAL INDUST DRILLBIT;R 30.50;
10273;6005721018833;RUW 5.5M METAL INDUST DRILLBIT;R 40.00;
10274;6005721018840;RUW 6M METAL IND DRILLBIT;R 41.50;
10275;6005721018857;RUW 6.5M METAL INDUST DRILLBIT;R 49.00;
10277;6005721018871;RUW 7.5M METAL IND DRILLBIT;R 60.00;
10278;6005721018888;RUW 8M METAL IND DRILLBIT;R 67.50;
10279;6005721018895;RUW 8.5M METAL IND DRILLBIT;R 73.50;
1028;;ZEL HAMMER DRILL 710W 13MM CHK;R 452.90;
10280;6005721018901;RUW 9M METAL IND DRILLBIT;R 82.00;
10281;6005721018918;RUW 9.5M METAL INDUST DRILLBIT;R 90.00;
10282;6005721018925;RUW 10M METAL INDUST DRILLBIT;R 97.00;
10283;;RUW 10.5M METAL INDUS DRILLBIT;R 57.60;
10284;;SCRAPER - PROF 70MM MARSHAL;R 44.50;
10285;;SCRAPER - PROF 90MM MARSHAL;R 47.00;
10287;;SCRAPER - PROF 30MM MARSHAL;R 41.50;
1031;;ZEL CIRCULAR SAW 1300W 190MM B;R 754.95;
10352;6005721006601;RUW 4M INDUS/CON DRILLBIT;R 26.50;
10353;6005721019748;RUW 4.5M IND/CON DRILLBIT;R 28.00;
10354;6005721006618;RUW 5M INDUST/CONC DRILLBIT;R 27.00;
10355;;L/C GLOBE 40W B15 FROST/CANDLE;R 32.00;
10357;;GRIPPON 5LT;R 194.50;
10374;;MTS GLUE GUN HOBBY 55W;R 120.40;
10375;;HAMMER BALL PEIN 500GR W/HND;R 136.70;
10380;;T/L CAULKING GUN H/D;R 34.60;
10381;;T/L MINI MULTI-TOOL 10 IN 1;R 146.00;
10386;;PMB W/B VACUME DESIGNER WALNUT 25LT;R 618.00;
10387;;PMB W/B VACUME DESIGNER TEAK 25LT;R 449.00;
10388;;ALN WASHLINE 4MMX30MT;R 27.00;
10391;;ALN SKI ROPE 5MMX5MT;R 8.50;
10392;;ALN SKI ROPE 5MMX10MT;R 11.00;
10393;;ALN SKI ROPE 5MMX30MT;R 25.00;
10394;;ALN SKI ROPE 7MMX5MT;R 9.50;
10395;;ALN SKI ROPE 7MMX30MT;R 39.00;
10396;;ALN SKI ROPE 10MMX30MT;R 64.00;
10398;;ALN SKI ROPE 7MMX10MT;R 14.00;
10399;;ALN SKI ROPE 10MMX10MT;R 25.00;
10400;;KIR RAIL SINGLE STEEL 1MT;R 17.50;
10401;6005721018864;RUW 7M METAL INDUST DRILLBIT;R 54.00;
10403;;KIR RAIL SINGLE STEEL 2MT;R 35.00;
10405;;KIR RAIL SINGLE STEEL 2.5MT;R 43.80;
10407;;KIR RAIL SINGLE STEEL 3MT;R 52.60;
10412;;KIR RAIL DOUBLE STEEL 1.5MT;R 47.10;
10413;;KIR RAIL DOUBLE STEEL 2.5MT;R 78.50;
10414;;KIR RAIL DOUBLE STEEL 3MT;R 94.50;
10415;;KIR BRACKET DBL POLY W/F 2'S;R 7.10;
10416;;KIR BRACKET SINGLE REG POLY;R 6.40;
10417;;KIR HUSH GLIDERS;R 9.60;
10418;;KIR GLIDERS C TRACK REG;R 9.10;
10419;;KIR STRETCHWIRE 2.5MT;R 14.30;
10420;;KIR STRETCHWIRE PLASTIC 5.0M;R 25.35;
10421;;KIR GOLDEN PLEATER ADJ STEEL;R 36.50;
10422;;KIR WHITE KNIGHT PLEATER ADJ;R 21.90;
10423;;KIR END CAP REGULAR;R 5.00;
10424;;STRETCH WIRE HOOKS & EYES 8+8;R 6.60;
10425;;R2/R24 SPLIT RINGS 24MM KIRTEC;R 15.70;
10426;;KIRTECH R6 ACETYL HOOKS;R 8.30;
10427;;KIRTECH R7 BRASSED HOOKS;R 12.40;
10428;;HOOKS & EYES KIRTECH;R 6.60;
10429;;KIR END STOPS FOR I-RAIL;R 7.90;
10430;;KIR SCREW EYES BRASS;R 9.00;
10434;6003851271203;PL AEROLAK COCOA BROWN;R 51.60;
10438;6003851270305;PL AEROLAK PUMPKIN ORANGE;R 51.60;
10441;6003851270701;PL AEROLAK SPEARMINT GREEN;R 51.60;
10442;;PL AEROLAK SUMMER LILAC;R 51.60;
10443;;RUNNERS WHEEL BLUE ACETYL KIRT;R 14.00;
10444;;KIR RUFFLETTE CLEAT LARGE;R 3.60;
10445;6005721006663;RUW 9M IND/CON DRILLBIT;R 40.50;
10446;6005721019786;RUW 9.5M IND/CON DRILLBIT;R 43.50;
10447;6005721006670;RUW 10M INDUST/CONC DRILLBIT;R 49.50;
10448;6005721029570;RUW 8X400MM CON LONG;R 152.50;
10453;;AMPOL 633 CLOTH REPAIR 48X5M;R 33.50;
10454;;TAPE - BUFF PMB ABR.;R 12.00;
10455;;TAPE - CLEAR PMB ABR.;R 12.00;
10456;;AMPOL BLITZ LIGHT CLEANING PAD;R 14.50;
10457;;AMPOL BLITZ ALL PURPOSE PAD;R 14.50;
10458;;AMPOL BLITZ COARSE PAD;R 23.00;
10470;;AMPOL S/FUSING RUBBER 18X.76X3;R 34.50;
10471;;AMPOL H/S STRAPPING 48X5M;R 42.50;
10472;;MASKING TAPE 18MM;R 13.50;
10473;;MASKING TAPE 24MM;R 18.00;
10474;;MASKING TAPE 36MM;R 27.00;
10475;;MASKING TAPE 48MM;R 36.00;
10477;;AMPOL 725 N/SLIP SAFETY 25X1M;R 46.00;
10480;6002814265822;BRUSH - WIRE 26582 S/L STEEL;R 65.00;
10483;;KK MG106INBL GEORGIAN PLATE;R 174.10;
10485;;BIRD FEEDER WOODEN;R 150.00;
10486;6004709161004;SIKA RAINTITE GREY KIT 5LT;R 172.50;
10487;;WOODOC 25 20LT;R 2,328.00;
10488;;DEK QD KHAKI GREEN 5LT;R 421.50;
1049;;PROSTRUCT 529 S/CONCRETE 25KG;R 555.00;
10517;;SPRAYGUN D/V NEEDLE PACKING(OH;R 77.00;
10525;;DEK QD NPB GREEN 5LT;R 421.50;
10545;;WOODOC 35 MERANTI 1LT;R 169.00;
10546;6004215001153;GEN BIT & GLUE REMOVER 5LT;R 447.00;
10547;;NAA DARK MAHOGONY P/S 25LT;R 841.50;
10548;6002065009817;ABE ROCK BITUMEN 12.5KG;R 730.50;
10555;6007560007870;GEN NOVA 18 OREGON 500ML;R 68.50;
10567;;NAA DARK MAHOGONY P/S 5LT;R 264.80;
10573;;DISC SEMI-FLEX 16SIC 115X22;R 71.50;
10577;;ALN UTILITY CORD 3MMX10MT;R 11.00;
10582;;D/B ACRYLIC SEALANT WHITE 280M;R 26.00;
10591;;LS BODYFILLER MICROLITE 1KG;R 99.00;
10593;;BATTERY - PENLITE AA2;R 33.00;
10594;;BATTERY - MINIPEN AAA2;R 35.00;
10595;;BATTERY - MED. TORCH C2;R 40.80;
10601;;CHAIN - BALL NO6-BR 3.2MM;R 10.70;
10618;6003064000683;DURAM NS4 GREEN 5LT;R 496.00;
10619;6003064000676;DURAM NS4 GREEN 1LT;R 127.50;
10620;6003064000669;DURAM NS4 GREEN 500ML;R 78.00;
10621;;T/L MULTI FUNCTION KNIFE;R 73.00;
10622;;SASH HANDLE 102MM CP;R 18.30;
10623;6004215002068;GEN BIT & GLUE REMOVER 1LT;R 140.00;
10625;;MAT - RUBBER BRUSH 700X460M;R 104.00;
10626;;MAT - COIR NATURAL 600X400 18M;R 115.00;
10627;;MAT - DIRT TRAPPER 900X600MM;R 458.00;
10670;6005721023400;RUW 6M WOOD BRAD DRILLBIT;R 25.00;
10671;6005721023417;RUW 8M WOOD BRAD DRILLBIT;R 29.50;
10673;6005721023349;RUW 12M WOOD/BRAD DRILLBIT;R 40.00;
10675;;RACO HOSE CONNECT/1/2 55205C;R 42.00;
10684;;RUW 5.5M MAS DRILLBIT;R 6.00;
10685;;MAT - RHINO TYRE 640X380MM;R 181.00;
10786;6005721022755;RUW 18M WOOD FLAT DRILLBIT;R 33.50;
1079;;PROSTRUCT 723 WHITE 5LT;R 775.00;
